7.5974587939105529,0.34190273457558418,0.26483969935664115,0.7423876258652139,121.20566394581397,35.107484727517402
1.1010512765499079,0.41740327540585298,0.3649932060359008,1.0097547021382982,986.84842529019431,9.5134091396711185
0.99999999999997691,0.83458646616541055,0.9248120300751892,2.1992481203007546,3524.0300751879845,2.5579538487363607e-13
1.3677732512781273,0.33471322769667849,0.25404389053301168,0.79360563184564104,464.89312955157419,12.227146509989986
2.5322095123419186,0.36231186032510548,0.27796508127633957,0.84485393194002456,247.78570789322896,511.75821794101148
1.0234968901175594,0.58742225293711614,0.53904630269523079,1.3583275742916354,1848.4768486524013,5.3787145818930853
1.0,0.0,0.0,0.0,343.0,0.0,4.0
112.0,2.4553571428571428,1.7232142857142858,3.4107142857142856,10.104113520408163,9.3153153153199995,1.0
1.0,0.0,0.0,0.0,62.0,0.0,1.0
2.0,0.0,0.0,1.0,508.5,0.0,4.0
1.0,2.0,2.0,2.0,1212.0,0.0,2.0
15.0,0.59999999999999998,0.20000000000000001,1.1333333333333333,19.399999999999999,45.785714285699996,1.0
1.0,0.0,0.0,0.0,414.0,0.0,4.0
6.0,0.33333333333333331,0.16666666666666666,0.83333333333333337,80.916666666666671,111.40000000000001,1.0
7.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,4.1836734693877551,0.0,1.0
1.0,0.0,0.0,1.0,134.0,0.0,1.0
2.0,0.0,0.0,0.0,61.5,0.0,1.0
2.0,0.0,0.0,0.5,656.25,0.0,4.0
1.0,0.0,0.0,0.0,146.0,0.0,1.0
1.0,1.0,0.0,0.0,252.0,0.0,1.0
3.0,0.0,0.0,0.33333333333333331,190.33333333333334,0.0,1.0
1.0,0.0,0.0,0.0,200.0,0.0,1.0
3.0,0.0,0.0,0.0,218.7777777777778,121.5,1.0
1.0,1.0,0.0,0.0,59.0,0.0,1.0
3.0,0.66666666666666663,0.0,1.6666666666666667,194.44444444444446,0.0,1.0
1.0,0.0,0.0,1.0,177.0,0.0,1.0
1.0,0.0,0.0,0.0,172.0,0.0,1.0
1.0,7.0,8.0,10.0,1632.0,0.0,6.0
1.0,0.0,0.0,1.0,331.0,0.0,4.0
2.0,0.0,0.0,2.0,276.0,451.0,5.0
2.0,0.0,0.0,1.5,132.25,55.0,1.0
1.0,0.0,0.0,1.0,771.0,0.0,2.0
1.0,0.0,0.0,1.0,240.0,0.0,1.0
5.0,0.0,0.0,1.2,8.3200000000000003,0.0,1.0
3.0,0.0,0.0,1.0,108.0,1.0,1.0
1.0,0.0,0.0,1.0,150.0,0.0,1.0
12.0,0.58333333333333337,0.75,0.83333333333333337,45.597222222222221,87.727272727299976,1.0
8.0,0.0,0.0,0.625,84.734375,75.571428571400006,1.0
1.0,0.0,0.0,1.0,368.0,0.0,4.0
